"season","week","athlete_name","team","opponent","qbr_epa","TQBR","raw_qbr","exp_qbr"
2014,1,"Jared Goff","CAL","NW",0.428983111306934,88.6,83.1,85.5257873535156
2014,1,"Joe Licata","BUFF","DUQ",0.306283852109318,53.9,76.6,78.7774353027344
2014,1,"John O'Korn","HOU","UTSA",-0.425502586153052,6.9,10.7,26.2651901245117
2014,1,"John Wolford","WAKE","ULM",-0.570843969252037,7,7.5,11.85657787323
2014,1,"Justin Holman","UCF","PSU",0.965687261240803,96.7,92.4,95.8945236206055
2014,1,"Justin Thomas","GT","WOF",0.747801892571609,84.3,93.7,95.1019592285156
2014,1,"Justin Worley","TENN","USU",0.12217891249578,74.5,62.8,63.2912712097168
2014,1,"Kameron Bryant","APP","MICH",-0.666768935252952,4.7,2.8,9.23970508575439
2014,1,"Keenan Reynolds","NAVY","OSU",-0.414576326030044,8.3,3.5,20.5103893280029
2014,1,"Kenny Hill","TA&M","SC",0.558016411990506,91.7,89,77.8182144165039
2014,1,"Kevin Ellison","GASO","NCST",0.126842688527602,42.8,37.6,63.2912712097168
2014,1,"Kevin Hogan","STAN","UCD",-1.46057488670336,65.1,83.9,70.2746276855469
2014,1,"Kyle Pohl","AKR","HOW",0.358383027170791,76.4,90.1,82.3837661743164
2014,1,"Marcus Mariota","ORE","SDAK",0.975883156008169,95.2,98.2,95.6371841430664
2014,1,"Marquise Williams","UNC","LIB",0.119299142655135,55.5,77.7,63.2912712097168
2014,1,"Matt Johns","UVA","UCLA",0.0207252357854372,82.7,73.6,57.981746673584
2014,1,"Matt McIntosh","NIU","PRE",0.298510647362395,74.8,89.3,71.297119140625
2014,1,"Maty Mauk","MIZ","SDSU",0.412738913161251,40,65.1,67.749382019043
2014,1,"Michael Brewer","VT","W&M",0.283961777175186,68.9,86.1,77.7524032592773
2014,1,"Mike White","USF","WCU",-0.297718523037638,17.4,37,29.8266010284424
2014,1,"Mitch Leidner","MINN","EIU",0.0895844553301201,23.1,45.7,59.9410400390625
2014,1,"Nate Sudfeld","IND","INST",-0.0882013726510204,13.2,29.9,42.4046478271484
2014,1,"Neal Burcham","SMU","BAY",-0.884522858963549,6,2.6,5.13352108001709
2014,1,"Nick Arbuckle","GAST","ACU",0.311658976428989,62.1,82.1,77.7608795166016
2014,1,"Nick Mullens","USM","MSST",-0.656008676477363,15,7.4,9.23970508575439
2014,1,"Ozzie Mann","BALL","COLG",0.0621590769816018,17.2,36.8,57.2348594665527
2014,1,"P.J. Walker","TEM","VAN",0.241890772033976,61.2,63.3,62.7270278930664
2014,1,"Patrick Towles","UK","UTM",0.447820318581985,85.8,94.4,78.5758209228516
2014,1,"Paxton Lynch","MEM","PEAY",0.0913529891413048,60.8,81.3,59.9410400390625
2014,1,"Pete Thomas","ULM","WAKE",-0.17240895585913,47.9,42.3,35.0748329162598
2014,1,"Phillip Ely","TOL","UNH",0.676742305514465,88.3,95.5,94.2937240600586
2014,1,"Quinn Kaehler","SDSU","NAU",0.0585703520218953,41.8,66.8,62.7588233947754
2014,1,"Rakeem Cato","MRSH","M-OH",0.103021805186446,53.5,67.4,61.3078727722168
2014,1,"Sam B. Richardson","ISU","NDSU",-0.282362837687462,6.7,16.8,26.6635799407959
2014,1,"Sean Mannion","ORST","PRST",-0.15592142161612,25.7,49.2,38.0712661743164
2014,1,"Sefo Liufau","COLO","CSU",0.0700421168768624,68.2,72.1,57.2348594665527
2014,1,"Seth Russell","BAY","SMU",0.194479404179475,48.5,69.1,70.8083190917969
2014,1,"Shane Carden","ECU","NCCU",0.307800885360391,65.8,84.3,77.7608795166016
2014,1,"Stephen Rivers","VAN","TEM",-0.0869328431646045,25.4,21.9,39.1886444091797
2014,1,"Tanner Lee","TULN","TLSA",0.622800412144064,36.3,48.3,74.4944229125977
2014,1,"Tanner McEvoy","WIS","LSU",-0.593727458214276,12.5,5.4,11.85657787323
2014,1,"Taylor Heinicke","ODU","HAMP",0.117933633939073,47.7,71.8,63.2912712097168
2014,1,"Taylor Kelly","ASU","WEB",0.391265232140317,61.2,81.5,81.661018371582
2014,1,"Taysom Hill","BYU","CONN",0.496816745299558,91.9,92.6,88.9340972900391
2014,1,"Terrance Broadway","ULL","SOU",0.144466390765928,53.2,76.1,65.0295867919922
2014,1,"Terrel Hunt","SYR","NOVA",-0.0247909564550277,30.1,54.6,50.9816360473633
2014,1,"Tommy Armstrong Jr.","NEB","FAU",0.419618585853498,94.8,95.7,85.5257873535156
2014,1,"Travis Wilson","UTAH","IDST",0.83473156660268,82.7,93,96.2834014892578
2014,1,"Trevone Boykin","TCU","SAM",0.0363677384728895,68.5,85.9,56.5929794311523
2014,1,"Trevor Knight","OKLA","LT",0.352145315890222,89.2,88.7,75.2428283691406
2014,1,"Trevor Siemian","NW","CAL",-0.109866087847226,22.5,32.4,41.5617218017578
2014,1,"Tucker Carter","UTSA","HOU",-0.517037793917847,35.2,25.1,18.1680164337158
2014,1,"Tyler Jones","TXST","ARPB",0.611516180780345,94.1,97.8,91.5925827026367
2014,1,"Tyler Murphy","BC","UMASS",0.198112199717276,70.7,83.7,70.8083190917969
2014,1,"Tyler Rogers","NMSU","CP",-0.00892911136495233,35.8,61,54.6301040649414
2014,1,"Wes Lunt","ILL","YSU",0.196386606377566,65.8,84.3,63.0341262817383
2014,1,"Will Gardner","LOU","MIAMI",0.090025024099112,66.8,52.5,59.9410400390625
2014,1,"Zach Terrell","WMU","PUR",-0.186851224685537,39.8,39.2,35.8434410095215
2014,2,"Andrew Hendrix","M-OH","EKY",-0.149204193567949,7.1,17.6,39.0090522766113
2014,2,"Angel Santiago","ARMY","BUFF",0.174466804806729,41.7,60.7,67.918830871582
2014,2,"Anthony Boone","DUKE","TROY",0.367631846748286,73.6,87.1,81.661018371582
2014,2,"Anthony Jennings","LSU","SHSU",2.46878713160519,99.4,99.8,84.4978332519531
2014,2,"Anu Solomon","ARIZ","UTSA",0.0750182645027658,24.4,31.8,53.5262718200684
2014,2,"Austin Grammer","MTSU","MINN",-0.151219013121978,27.9,24,38.0712661743164
2014,2,"Blake Decker","UNLV","UNCO",-0.461604413469033,13.9,31.1,18.5154590606689
2014,2,"Blake Frohnapfel","UMASS","COLO",-0.16579664930487,63.9,70.7,35.5372924804688
2014,2,"Blake Jurich","SJSU","AUB",-0.0641365560080305,62.5,45.2,46.1408386230469
2014,2,"Bo Wallace","MISS","VAN",0.38812516396762,87.8,88.7,81.661018371582
2014,2,"Brad Kaaya","MIAMI","FAMU",0.0473480772485341,33.7,58.7,60.2489967346191
2014,2,"Brandon Bridge","USA","KENT",0.00570988600201021,36.9,49,54.3629684448242
2014,2,"Brandon Connette","FRES","UTAH",0.0466482026784016,65.2,43,58.2478408813477
2014,2,"Brandon Doughty","WKU","ILL",-0.180720471530484,37.3,38,35.8434410095215
2014,2,"Brandon Silvers","TROY","DUKE",0.0834289697979955,45.4,43.3,58.6470718383789
