"season","week","passer_player_name","team","opponent","qbr_epa","adj_qbr","raw_qbr","exp_qbr"
2014,1,"Jared Goff","CAL","NW",0.395777952194255,88.6,83.1,78.1478466449517
2014,1,"Joe Licata","BUFF","DUQ",0.247419740720988,53.9,76.6,70.0090276732626
2014,1,"John O'Korn","HOU","UTSA",-0.425502586153052,6.9,10.7,27.0171888615718
2014,1,"John Wolford","WAKE","ULM",-0.604283351801384,7,7.5,19.882637457687
2014,1,"Justin Holman","UCF","PSU",1.30771032045418,96.7,92.4,88.7994958429701
2014,1,"Justin Thomas","GT","WOF",1.41245910344464,84.3,93.7,87.7927499006318
2014,1,"Justin Worley","TENN","USU",0.116343760075022,74.5,62.8,61.5509844470568
2014,1,"Kameron Bryant","APP","MICH",-0.605602335248465,4.7,2.8,19.8399198172156
2014,1,"Keenan Reynolds","NAVY","OSU",-0.798749996066996,8.3,3.5,15.2227335379865
2014,1,"Kenny Hill","TA&M","SC",0.558016411990506,91.7,89,84.7600242352195
2014,1,"Kevin Ellison","GASO","NCST",0.692086279527641,42.8,37.6,88.2285210838103
2014,1,"Kevin Hogan","STAN","UCD",-1.46057488670336,65.1,83.9,19.9776887863563
2014,1,"Kyle Pohl","AKR","HOW",0.469489716484833,76.4,90.1,81.4751263504791
2014,1,"Marcus Mariota","ORE","SDAK",1.06608574313877,95.2,98.2,90.4497420555844
2014,1,"Marquise Williams","UNC","LIB",-0.0166087035176292,55.5,77.7,52.2656477270114
2014,1,"Matt Johns","UVA","UCLA",0.0986863064012639,82.7,73.6,60.3453021804493
2014,1,"Matt McIntosh","NIU","PRE",0.298510647362395,74.8,89.3,73.0090995437278
2014,1,"Maty Mauk","MIZ","SDSU",0.412738913161251,40,65.1,78.9591104356217
2014,1,"Michael Brewer","VT","W&M",0.363437328343632,68.9,86.1,76.5287520687
2014,1,"Mike White","USF","WCU",-0.297718523037638,17.4,37,33.7142631473792
2014,1,"Mitch Leidner","MINN","EIU",-0.100468450164947,23.1,45.7,46.3719026714453
2014,1,"Nate Sudfeld","IND","INST",-0.203942773230599,13.2,29.9,39.4329897963397
2014,1,"Neal Burcham","SMU","BAY",-0.957249489088858,6,2.6,13.8433812422765
2014,1,"Nick Arbuckle","GAST","ACU",0.314156508767411,62.1,82.1,73.8885726858785
2014,1,"Nick Mullens","USM","MSST",-0.700787493618412,15,7.4,17.1545944381254
2014,1,"Ozzie Mann","BALL","COLG",0.217412217643123,17.2,36.8,68.1619384256037
2014,1,"P.J. Walker","TEM","VAN",0.241890772033976,61.2,63.3,69.673209634434
2014,1,"Patrick Towles","UK","UTM",0.447820318581985,85.8,94.4,80.5512085380637
2014,1,"Paxton Lynch","MEM","PEAY",-0.0930840748981136,60.8,81.3,46.8847976772321
2014,1,"Pete Thomas","ULM","WAKE",-0.310157436806442,47.9,42.3,33.0050173825209
2014,1,"Phillip Ely","TOL","UNH",0.734440430179393,88.3,95.5,88.9685586686195
2014,1,"Quinn Kaehler","SDSU","NAU",0.0585703520218953,41.8,66.8,57.5656348116106
2014,1,"Rakeem Cato","MRSH","M-OH",0.109069373940825,53.5,67.4,61.055775320823
2014,1,"Sam B. Richardson","ISU","NDSU",-0.577772055489201,6.7,16.8,20.7726368057073
2014,1,"Sean Mannion","ORST","PRST",-0.150493262465537,25.7,49.2,42.95129800919
2014,1,"Sefo Liufau","COLO","CSU",0.116505693991184,68.2,72.1,61.5619833700132
2014,1,"Seth Russell","BAY","SMU",0.0450078955726731,48.5,69.1,56.6157641715033
2014,1,"Shane Carden","ECU","NCCU",0.248856166974051,65.8,84.3,70.0959304865168
2014,1,"Stephen Rivers","VAN","TEM",-0.0869328431646045,25.4,21.9,47.3132990577883
2014,1,"Tanner Lee","TULN","TLSA",0.622800412144064,36.3,48.3,86.6585585660338
2014,1,"Tanner McEvoy","WIS","LSU",-0.607461157469925,12.5,5.4,19.7799708866583
2014,1,"Taylor Heinicke","ODU","HAMP",0.273037285326459,47.7,71.8,71.5371109486202
2014,1,"Taylor Kelly","ASU","WEB",0.419177523850139,61.2,81.5,79.2600749673982
2014,1,"Taysom Hill","BYU","CONN",0.231599715615392,91.9,92.6,69.0426560063662
2014,1,"Terrance Broadway","ULL","SOU",0.0636555861132342,53.2,76.1,57.9206445915486
2014,1,"Terrel Hunt","SYR","NOVA",0.0494265862347662,30.1,54.6,56.9256908294453
2014,1,"Tommy Armstrong Jr.","NEB","FAU",0.299075844391231,94.8,95.7,73.0412021245503
2014,1,"Travis Wilson","UTAH","IDST",1.01998985191496,82.7,93,90.5843576009776
2014,1,"Trevone Boykin","TCU","SAM",-0.0098080783445906,68.5,85.9,52.747050265473
2014,1,"Trevor Knight","OKLA","LT",0.352145315890222,89.2,88.7,75.9417922493665
2014,1,"Trevor Siemian","NW","CAL",-0.161704984907954,22.5,32.4,42.2001586640248
